No.,Counting_Index,ID_Counting,Counting_Name,Counting_Type,Counting_Value
0,12,D3012,goodProductRaw,i,4085
1,43,D3043,EFF,i,978
2,150,D3150,ACT_BATCH_CNT,i,4085
3,160,D3160,SET_BATCH_QTY,i,5050
4,0,D3000,TOTAL_CNT_TR1,i,1044
5,2,D3002,TOTAL_CNT_TR2,i,1041
6,4,D3004,TOTAL_CNT_TR3,i,1042
7,6,D3006,TOTAL_CNT_TR4,i,1046
8,18,D3018,errorProduct,i,88
9,20,D3020,GOOD_CNT_TR1,i,1025
10,22,D3022,GOOD_CNT_TR2,i,1029
11,24,D3024,GOOD_CNT_TR3,i,1012
12,26,D3026,GOOD_CNT_TR4,i,1019
13,30,D3030,BAD_CNT_TR1,i,19
14,32,D3032,BAD_CNT_TR2,i,12
15,34,D3034,BAD_CNT_TR3,i,30
16,36,D3036,BAD_CNT_TR4,i,27
17,39,D3039,productCount  ,i,4173
