No.,Cycle_Index,ID_Cycle,Cycle_Name,Cycle_Type,Cycle_Value
0,212,D212,Cycle/S1/cycle/on/00,h,20
1,210,D210,Cycle/S1/cycle/on/01,h,230
2,223,D223,Cycle/S1/cycle/on/02,h,250
3,218,D218,Cycle/S1/cycle/on/03,h,350
4,213,D213,Cycle/S1/cycle/on/04,h,500
5,211,D211,Cycle/S1/cycle/on/05,h,715
6,300,D300,Cycle/S1/cycle/on/06,h,740
7,222,D222,Cycle/S1/cycle/on/07,h,750
8,215,D215,Cycle/S1/cycle/on/08,h,750
9,412,D412,Cycle/S1/cycle/off/00,h,150
10,410,D410,Cycle/S1/cycle/off/01,h,240
11,423,D423,Cycle/S1/cycle/off/02,h,300
12,418,D418,Cycle/S1/cycle/off/03,h,700
13,413,D413,Cycle/S1/cycle/off/04,h,550
14,411,D411,Cycle/S1/cycle/off/05,h,725
15,500,D500,Cycle/S1/cycle/off/06,h,800
16,422,D422,Cycle/S1/cycle/off/07,h,800
17,415,D415,Cycle/S1/cycle/off/08,h,850
18,238,D238,Cycle/S2/cycle/on/00,h,900
19,233,D233,Cycle/S2/cycle/on/01,h,230
20,277,D277,Cycle/S2/cycle/on/02,h,240
21,236,D236,Cycle/S2/cycle/on/03,h,270
22,216,D216,Cycle/S2/cycle/on/04,h,350
23,234,D234,Cycle/S2/cycle/on/05,h,700
24,246,D246,Cycle/S2/cycle/on/06,h,600
25,237,D237,Cycle/S2/cycle/on/07,h,720
26,235,D235,Cycle/S2/cycle/on/08,h,750
27,438,D438,Cycle/S2/cycle/off/00,h,520
28,433,D433,Cycle/S2/cycle/off/01,h,270
29,477,D477,Cycle/S2/cycle/off/02,h,260
30,436,D436,Cycle/S2/cycle/off/03,h,330
31,416,D416,Cycle/S2/cycle/off/04,h,600
32,434,D434,Cycle/S2/cycle/off/05,h,850
33,446,D446,Cycle/S2/cycle/off/06,h,650
34,437,D437,Cycle/S2/cycle/off/07,h,860
35,435,D435,Cycle/S2/cycle/off/08,h,850
36,271,D271,Cycle/S3/cycle/on/00,h,270
37,241,D241,Cycle/S3/cycle/on/01,h,400
38,302,D302,Cycle/S3/cycle/on/02,h,500
39,240,D240,Cycle/S3/cycle/on/03,h,650
40,274,D274,Cycle/S3/cycle/on/04,h,850
41,471,D471,Cycle/S3/cycle/off/00,h,340
42,441,D441,Cycle/S3/cycle/off/01,h,450
43,502,D502,Cycle/S3/cycle/off/02,h,600
44,440,D440,Cycle/S3/cycle/off/03,h,750
45,474,D474,Cycle/S3/cycle/off/04,h,930
46,244,D244,Cycle/S4/cycle/on/00,h,50
47,248,D248,Cycle/S4/cycle/on/01,h,200
48,242,D242,Cycle/S4/cycle/on/02,h,750
49,248,D248,Cycle/S4/cycle/on/03,h,200
50,217,D217,Cycle/S4/cycle/on/04,h,350
51,245,D245,Cycle/S4/cycle/on/05,h,430
52,243,D243,Cycle/S4/cycle/on/06,h,200
53,247,D247,Cycle/S4/cycle/on/07,h,800
54,247,D247,Cycle/S4/cycle/on/08,h,800
55,249,D249,Cycle/S4/cycle/on/09,h,0
