No.,Output_Index,ID_Output,Output_Name,Output_Type,Value
0,40,Y50,S4/out/00,b,0
1,41,Y51,S4/out/01,b,0
2,42,Y52,S4/out/02,b,0
3,43,Y53,S4/out/03,b,0
4,44,Y54,S4/out/04,b,0
5,45,Y55,S4/out/05,b,0
6,46,Y56,S4/out/06,b,0
7,47,Y57,S4/out/07,b,0
8,48,Y60,S4/out/08,b,0
9,49,Y61,S4/out/09,b,0
10,50,Y62,S4/out/10,b,0
11,51,Y63,S4/out/11,b,0
12,146,Y222,S4/out/12,b,0
13,147,Y223,S4/out/13,b,0
14,148,Y224,S4/out/14,b,0
15,149,Y225,S4/out/15,b,0
16,150,Y226,S4/out/16,b,0
17,151,Y227,S4/out/17,b,0
18,152,Y230,S4/out/18,b,0
19,153,Y231,S4/out/19,b,0
20,154,Y232,S4/out/20,b,0
21,155,Y233,S4/out/21,b,0
22,156,Y234,S4/out/22,b,0
23,157,Y235,S4/out/23,b,0
