No.,ID,Name Variable,Value,Timestamp,Kind of Data,Connected Wifi
0,On,On,0,2024-04-27T16:45:04.322202,MachineStatus,1
0,Y40,S10/out/00,0,2024-04-27T16:45:05.378722,Output,1
0,D3050,BOTTOM_CAP_REJ_TR1,34,2024-04-27T16:45:05.404252,Checking,1
1,D3052,SILICON_PRESENCE_REJ_TR1,95,2024-04-27T16:45:05.424262,Checking,1
0,D4112,S8_CURRENT_HEIGHT_TR1,0.0,2024-04-27T16:45:05.462417,Setting,1
0,X110,S10/in/00,0,2024-04-27T16:45:05.495803,Input,1
0,D100,Encoder Value,915,2024-04-27T16:45:05.530882,Encoder,1
0,M32,AIR_PRESSURE_LOW,0,2024-04-27T16:45:05.577878,Alarm,1
0,D212,Cycle/S1/cycle/on/00,20,2024-04-27T16:45:05.596923,Cycle,1
1,D4116,S8_OFF_SET_TR1,20.95,2024-04-27T16:45:05.618405,Setting,1
1,X111,S10/in/01,0,2024-04-27T16:45:05.647699,Input,1
1,Y41,S10/out/01,0,2024-04-27T16:45:05.668230,Output,1
2,Y42,S10/out/02,0,2024-04-27T16:45:05.689278,Output,1
0,D3012,goodProductRaw,-32729,2024-04-27T16:45:05.709286,Counting,1
2,D3054,COVER_PRESENCE_REJ_TR1,95,2024-04-27T16:45:05.725290,Checking,1
1,M33,INDEX_MOTOR_OVERLOAD,0,2024-04-27T16:45:05.743306,Alarm,1
2,M34,MANUAL_CONTROL_NOT_ON,0,2024-04-27T16:45:05.765346,Alarm,1
2,D4120,S8_TOTAL_HEIGHT_TR1,20.95,2024-04-27T16:45:05.789078,Setting,1
2,X112,S10/in/02,0,2024-04-27T16:45:05.818459,Input,1
3,Y43,S10/out/03,0,2024-04-27T16:45:05.849106,Output,1
4,Y250,S10/out/04,0,2024-04-27T16:45:05.868468,Output,1
3,D3056,HEIGHT_CHK_REJ_TR1,1,2024-04-27T16:45:05.894571,Checking,1
1,D210,Cycle/S1/cycle/on/01,230,2024-04-27T16:45:05.918296,Cycle,1
3,M35,EMERGENCY_STOP_PREESD,0,2024-04-27T16:45:05.939899,Alarm,1
3,D4124,S8_MINIMUN_HEIGHT_VALUE_TR1,21.0,2024-04-27T16:45:05.961901,Setting,1
3,X113,S10/in/03,0,2024-04-27T16:45:05.994365,Input,1
1,D3043,EFF,96.3,2024-04-27T16:45:06.029818,Counting,1
5,Y251,S10/out/05,0,2024-04-27T16:45:06.053773,Output,1
4,D3058,LEAK_TEST_CHK_OK_TR1,99,2024-04-27T16:45:06.074687,Checking,1
2,D223,Cycle/S1/cycle/on/02,250,2024-04-27T16:45:06.093930,Cycle,1
4,M36,MANCHINE_IN_AUTO_MODE,0,2024-04-27T16:45:06.120081,Alarm,1
4,D4128,S8_MAXIMUM_HEIGHT_VALUE_TR1,21.32,2024-04-27T16:45:06.141605,Setting,1
4,X114,S10/in/04,0,2024-04-27T16:45:06.175222,Input,1
2,D3150,ACT_BATCH_CNT,2494,2024-04-27T16:45:06.215851,Counting,1
6,Y252,S10/out/06,0,2024-04-27T16:45:06.238795,Output,1
5,D3064,BOTTOM_CAP_REJ_TR2,39,2024-04-27T16:45:06.266057,Checking,1
3,D218,Cycle/S1/cycle/on/03,350,2024-04-27T16:45:06.289111,Cycle,1
5,M37,MANUAL_MODE_SELECTED,0,2024-04-27T16:45:06.310634,Alarm,1
5,D4312,S8_CURRENT_HEIGHT_TR3,0.03,2024-04-27T16:45:06.335040,Setting,1
5,X115,S10/in/05,0,2024-04-27T16:45:06.366616,Input,1
3,D3160,SET_BATCH_QTY,5050,2024-04-27T16:45:06.402437,Counting,1
7,Y253,S10/out/07,0,2024-04-27T16:45:06.429464,Output,1
6,D3066,SILICON_PRESENCE_REJ_TR2,78,2024-04-27T16:45:06.458965,Checking,1
4,D213,Cycle/S1/cycle/on/04,500,2024-04-27T16:45:06.486239,Cycle,1
6,M38,BOWL_FEEDER_SWITCH_NOT_ON,0,2024-04-27T16:45:06.512333,Alarm,1
7,M39,LINEAR_FEEDER_SWITCH_NOT_ON,0,2024-04-27T16:45:06.535444,Alarm,1
6,D4316,S8_OFF_SET_TR3,21.07,2024-04-27T16:45:06.559456,Setting,1
6,X130,S10/in/06,0,2024-04-27T16:45:06.592964,Input,1
4,D3000,TOTAL_CNT_TR1,8527,2024-04-27T16:45:06.623233,Counting,1
8,Y254,S10/out/08,0,2024-04-27T16:45:06.644172,Output,1
7,D3068,COVER_PRESENCE_REJ_TR2,45,2024-04-27T16:45:06.666135,Checking,1
5,D211,Cycle/S1/cycle/on/05,715,2024-04-27T16:45:06.690892,Cycle,1
8,M72,CC_LINK_COMMUNICATION_ERROR,0,2024-04-27T16:45:06.714700,Alarm,1
7,D4320,S8_TOTAL_HEIGHT_TR3,21.1,2024-04-27T16:45:06.735704,Setting,1
7,X131,S10/in/07,0,2024-04-27T16:45:06.761454,Input,1
5,D3002,TOTAL_CNT_TR2,8521,2024-04-27T16:45:06.848783,Counting,1
6,D3004,TOTAL_CNT_TR3,8516,2024-04-27T16:45:06.879366,Counting,1
8,D3070,HEIGHT_CHK_REJ_TR2,3,2024-04-27T16:45:06.908904,Checking,1
9,D3072,LEAK_TEST_CHK_TR2,108,2024-04-27T16:45:06.933439,Checking,1
9,M73,SET_BATCH_QTY_RECHED,0,2024-04-27T16:45:06.960083,Alarm,1
8,D4324,S8_MINIMUM_HEIGHT_VALUE_TR3,21.0,2024-04-27T16:45:06.980467,Setting,1
9,Y255,S10/out/09,0,2024-04-27T16:45:07.029178,Output,1
7,D3006,TOTAL_CNT_TR4,8498,2024-04-27T16:45:07.050717,Counting,1
6,D300,Cycle/S1/cycle/on/06,740,2024-04-27T16:45:07.072930,Cycle,1
10,D3076,BOTTOM_CAP_REJ_TR3,44,2024-04-27T16:45:07.098695,Checking,1
10,M41,S1_HORZ_PICK_&_PLACE_SLIDE_NOT_REV,0,2024-04-27T16:45:07.123976,Alarm,1
9,D4328,S8_MAXIMUM_HEIGHT_VALUE_TR3,21.3,2024-04-27T16:45:07.146305,Setting,1
10,Y256,S10/out/10,0,2024-04-27T16:45:07.200339,Output,1
8,D3018,errorProduct,1255,2024-04-27T16:45:07.221453,Counting,1
7,D222,Cycle/S1/cycle/on/07,750,2024-04-27T16:45:07.236676,Cycle,1
11,D3078,SILICON_PRESENCE_REJ_TR3,142,2024-04-27T16:45:07.261709,Checking,1
11,M42,S1_SLING_PLATE_VERT_LIFT_CYL_NOT_DN_,0,2024-04-27T16:45:07.282112,Alarm,1
10,D4212,S9_CURRENT_HEIGHT_TR2,0.0,2024-04-27T16:45:07.309104,Setting,1
11,D4216,S9_OFF_SET_TR2,20.75,2024-04-27T16:45:07.333105,Setting,1
11,Y257,S10/out/11,0,2024-04-27T16:45:07.385927,Output,1
9,D3020,GOOD_CNT_TR1,8237,2024-04-27T16:45:07.416358,Counting,1
10,D3022,GOOD_CNT_TR2,8287,2024-04-27T16:45:07.441760,Counting,1
12,D3080,COVER_PRESENCE_REJ_TR3,85,2024-04-27T16:45:07.473863,Checking,1
13,D3082,HEIGHT_CHK_REJ_TR3,2,2024-04-27T16:45:07.508399,Checking,1
12,D4220,S9_TOTAL_HEIGHT_TR2,20.75,2024-04-27T16:45:07.551841,Setting,1
8,D215,Cycle/S1/cycle/on/08,750,2024-04-27T16:45:07.614104,Cycle,1
11,D3024,GOOD_CNT_TR3,8120,2024-04-27T16:45:07.644165,Counting,1
12,M44,S2_HORZ_PICK_&_PLACE_CYL_NOT_REV,0,2024-04-27T16:45:07.675250,Alarm,1
14,D3084,LEAK_TEST_CHK_TR3,167,2024-04-27T16:45:07.703850,Checking,1
13,D4224,S9_MINIMUM_HEIGHT_VALUE_TR2,20.8,2024-04-27T16:45:07.739182,Setting,1
9,D412,Cycle/S1/cycle/off/00,150,2024-04-27T16:45:07.795649,Cycle,1
12,D3026,GOOD_CNT_TR4,8163,2024-04-27T16:45:07.822075,Counting,1
13,M45,S2_SING_PLATE_VERT_LIFT_CYL_NOT_DN,0,2024-04-27T16:45:07.849337,Alarm,1
14,M47,S3_SILICON_PRESSING_CYL_NOT_UP_TR1,0,2024-04-27T16:45:07.878631,Alarm,1
15,D3088,BOTTOM_CAL_REJ_TR4,62,2024-04-27T16:45:07.902703,Checking,1
14,D4228,S9_MAXIMUM_HEIGHT_VALUE_TR2,21.4,2024-04-27T16:45:07.946050,Setting,1
10,D410,Cycle/S1/cycle/off/01,240,2024-04-27T16:45:08.003218,Cycle,1
13,D3030,BAD_CNT_TR1,290,2024-04-27T16:45:08.022725,Counting,1
15,M48,S3_SILICON_PRESSING_CYL_NOT_UP_TR2,0,2024-04-27T16:45:08.046208,Alarm,1
16,D3090,SILICON_PRESENCE_REJ_TR4,91,2024-04-27T16:45:08.075563,Checking,1
15,D4412,S9_CURRENT_HEIGHT_TR4,0.0,2024-04-27T16:45:08.114706,Setting,1
11,D423,Cycle/S1/cycle/off/02,300,2024-04-27T16:45:08.175564,Cycle,1
14,D3032,BAD_CNT_TR2,234,2024-04-27T16:45:08.197342,Counting,1
15,D3034,BAD_CNT_TR3,396,2024-04-27T16:45:08.215861,Counting,1
17,D3092,COVER_PRESENCE_REJ_TR4,94,2024-04-27T16:45:08.242864,Checking,1
16,D4416,S9_OFF_SET_TR4,20.98,2024-04-27T16:45:08.279331,Setting,1
12,D418,Cycle/S1/cycle/off/03,700,2024-04-27T16:45:08.336326,Cycle,1
16,M49,S3_SILICON_PRESSING_CYL_NOT_UP_TR3,0,2024-04-27T16:45:08.358161,Alarm,1
16,D3036,BAD_CNT_TR4,335,2024-04-27T16:45:08.379234,Counting,1
18,D3094,HEIGHT_CHK_REJ_TR4,46,2024-04-27T16:45:08.407241,Checking,1
17,D4420,S9_TOTAL_HEIGHT_TR4,20.98,2024-04-27T16:45:08.445102,Setting,1
13,D413,Cycle/S1/cycle/off/04,550,2024-04-27T16:45:08.502208,Cycle,1
17,M50,S3_SILICON_PRESSING_CYL_NOT_UP_TR4,0,2024-04-27T16:45:08.524717,Alarm,1
17,D3039,productCount,-31474,2024-04-27T16:45:08.547450,Counting,1
19,D3096,LEAK_TEST_CHK_TR4,104,2024-04-27T16:45:08.574618,Checking,1
18,D4424,S9_HEIGHT_MINIMUM_VALUE_TR4,21.0,2024-04-27T16:45:08.692190,Setting,1
14,D411,Cycle/S1/cycle/off/05,725,2024-04-27T16:45:08.759691,Cycle,1
18,M52,S4_HORZ_PICK_&_PLACE_SLIDE_NOT_REV,0,2024-04-27T16:45:08.772699,Alarm,1
19,D4428,S9_MAXIMUM_HEIGHT_VALUE_TR4,21.32,2024-04-27T16:45:08.834428,Setting,1
15,D500,Cycle/S1/cycle/off/06,800,2024-04-27T16:45:08.902580,Cycle,1
19,M53,S4_SING_PLATE_VERT_LIFT_CYL_NOT_UP,0,2024-04-27T16:45:08.934133,Alarm,1
20,M55,S5_VERT_SLIDE_NOT_DN,0,2024-04-27T16:45:08.964205,Alarm,1
16,D422,Cycle/S1/cycle/off/07,800,2024-04-27T16:45:09.060285,Cycle,1
21,M57,S6_SUPPORT_CYL_NOT_DN_TR2,0,2024-04-27T16:45:09.090848,Alarm,1
17,D415,Cycle/S1/cycle/off/08,850,2024-04-27T16:45:09.178677,Cycle,1
22,M58,S6_SUPPORT_CYL_NOT_DN_TR4,0,2024-04-27T16:45:09.224358,Alarm,1
18,D238,Cycle/S2/cycle/on/00,900,2024-04-27T16:45:09.316922,Cycle,1
23,M60,S6_WELDING_UNIT_NOT_READY,0,2024-04-27T16:45:09.356777,Alarm,1
19,D233,Cycle/S2/cycle/on/01,230,2024-04-27T16:45:09.439014,Cycle,1
24,M59,S6_WELDING_MC_ALARM,0,2024-04-27T16:45:09.469936,Alarm,1
20,D277,Cycle/S2/cycle/on/02,240,2024-04-27T16:45:09.557215,Cycle,1
25,M62,S7_SUPPORT_CYL_NOT_DN_TR1,0,2024-04-27T16:45:09.587740,Alarm,1
21,D236,Cycle/S2/cycle/on/03,270,2024-04-27T16:45:09.674580,Cycle,1
26,M63,S7_SUPPORT_CYL_NOT_DN_TR3,0,2024-04-27T16:45:09.699992,Alarm,1
22,D216,Cycle/S2/cycle/on/04,350,2024-04-27T16:45:09.780236,Cycle,1
27,M64,S7_WELDING_MC_ALARM,0,2024-04-27T16:45:09.813357,Alarm,1
28,M65,S7_WELDING_UNIT_NOT_READY,0,2024-04-27T16:45:09.834489,Alarm,1
23,D234,Cycle/S2/cycle/on/05,700,2024-04-27T16:45:09.910845,Cycle,1
29,M67,S10_HOLDING_CYL_NOT_REV_TR1-X110,0,2024-04-27T16:45:09.946209,Alarm,1
24,D246,Cycle/S2/cycle/on/06,600,2024-04-27T16:45:10.023522,Cycle,1
30,M68,S10_HOLDING_CUL_NOT_REV-X111,0,2024-04-27T16:45:10.064265,Alarm,1
25,D237,Cycle/S2/cycle/on/07,720,2024-04-27T16:45:10.142732,Cycle,1
31,M69,S10_HOLDING_CYL_NOT_REV_TR3_-X130,0,2024-04-27T16:45:10.182374,Alarm,1
26,D235,Cycle/S2/cycle/on/08,750,2024-04-27T16:45:10.254440,Cycle,1
32,M70,S11_HORZ_PICK_&_PLACE_SLIDE_NOT_REV_,0,2024-04-27T16:45:10.295142,Alarm,1
27,D438,Cycle/S2/cycle/off/00,520,2024-04-27T16:45:10.372186,Cycle,1
33,M71,S10_HOLDING_CYL_NOT_REV_TR4,0,2024-04-27T16:45:10.413265,Alarm,1
28,D433,Cycle/S2/cycle/off/01,270,2024-04-27T16:45:10.486475,Cycle,1
34,M40,S3_HOLDING_CYL_NOT_REV,0,2024-04-27T16:45:10.526120,Alarm,1
29,D477,Cycle/S2/cycle/off/02,260,2024-04-27T16:45:10.603095,Cycle,1
35,M43,S6_HOLDING_CYL_NOT_REV,0,2024-04-27T16:45:10.643283,Alarm,1
30,D436,Cycle/S2/cycle/off/03,330,2024-04-27T16:45:10.715286,Cycle,1
36,M46,S7_HOLDING_CYL_NOT_REV,0,2024-04-27T16:45:10.751585,Alarm,1
31,D416,Cycle/S2/cycle/off/04,600,2024-04-27T16:45:10.823760,Cycle,1
37,M75,S1_LOW_LEVEL_FLG_TR1,0,2024-04-27T16:45:10.863671,Alarm,1
32,D434,Cycle/S2/cycle/off/05,850,2024-04-27T16:45:10.936498,Cycle,1
38,M76,S1_LOW_LEVEL_FLG_TR2,0,2024-04-27T16:45:10.971817,Alarm,1
33,D446,Cycle/S2/cycle/off/06,650,2024-04-27T16:45:11.049362,Cycle,1
39,M77,S1_LOW_LEVEL_FLG_TR3,0,2024-04-27T16:45:11.090376,Alarm,1
34,D437,Cycle/S2/cycle/off/07,860,2024-04-27T16:45:11.173493,Cycle,1
40,M78,S1_LOW_LEVEL_FLG_TR4,0,2024-04-27T16:45:11.233549,Alarm,1
35,D435,Cycle/S2/cycle/off/08,850,2024-04-27T16:45:11.332515,Cycle,1
41,M96,S4_LL_FLG_TR1,0,2024-04-27T16:45:11.396564,Alarm,1
36,D271,Cycle/S3/cycle/on/00,270,2024-04-27T16:45:11.635333,Cycle,1
42,M97,S4_LL_FLG_TR2,0,2024-04-27T16:45:11.775756,Alarm,1
37,D241,Cycle/S3/cycle/on/01,400,2024-04-27T16:45:11.868633,Cycle,1
43,M98,S4_LL_FLG_TR3,0,2024-04-27T16:45:11.963241,Alarm,1
44,M99,S4_LL_FLG_TR4,0,2024-04-27T16:45:12.047528,Alarm,1
38,D302,Cycle/S3/cycle/on/02,500,2024-04-27T16:45:12.129696,Cycle,1
39,D240,Cycle/S3/cycle/on/03,650,2024-04-27T16:45:12.160293,Cycle,1
45,M106,FRONT_DOOR_OPEN-X140,0,2024-04-27T16:45:12.220352,Alarm,1
40,D274,Cycle/S3/cycle/on/04,850,2024-04-27T16:45:12.297832,Cycle,1
46,M107,BACK_DOOR_OPEN-X141,0,2024-04-27T16:45:12.343604,Alarm,1
41,D471,Cycle/S3/cycle/off/00,340,2024-04-27T16:45:12.419894,Cycle,1
47,M108,LEFT_DOOR_OPEN-X142,0,2024-04-27T16:45:12.451091,Alarm,1
42,D441,Cycle/S3/cycle/off/01,450,2024-04-27T16:45:12.518392,Cycle,1
48,M109,RIGHT_DOOR_OPEN-X143,0,2024-04-27T16:45:12.543035,Alarm,1
43,D502,Cycle/S3/cycle/off/02,600,2024-04-27T16:45:12.605260,Cycle,1
49,M111,S12_JOB_NOT_ECEJTED_TR1,0,2024-04-27T16:45:12.637627,Alarm,1
44,D440,Cycle/S3/cycle/off/03,750,2024-04-27T16:45:12.710792,Cycle,1
50,M112,S12_JOB_NOT_ECEJTED_TR2,0,2024-04-27T16:45:12.752157,Alarm,1
45,D474,Cycle/S3/cycle/off/04,930,2024-04-27T16:45:12.824623,Cycle,1
51,M113,S12_JOB_NOT_ECEJTED_TR3,0,2024-04-27T16:45:12.865213,Alarm,1
46,D244,Cycle/S4/cycle/on/00,50,2024-04-27T16:45:12.942404,Cycle,1
52,M114,S12_JOB_NOT_ECEJTED_TR4,0,2024-04-27T16:45:12.983902,Alarm,1
47,D248,Cycle/S4/cycle/on/01,200,2024-04-27T16:45:13.055002,Cycle,1
53,M150,S1_LOW_LEVEL_FLG_TR1,0,2024-04-27T16:45:13.096684,Alarm,1
48,D242,Cycle/S4/cycle/on/02,750,2024-04-27T16:45:13.173330,Cycle,1
54,M151,S1_LOW_LEVEL_FLG_TR2,0,2024-04-27T16:45:13.220144,Alarm,1
49,D248,Cycle/S4/cycle/on/03,200,2024-04-27T16:45:13.296872,Cycle,1
55,M148,S1_LOW_LEVEL_FLG_TR3,0,2024-04-27T16:45:13.332927,Alarm,1
50,D217,Cycle/S4/cycle/on/04,350,2024-04-27T16:45:13.409264,Cycle,1
56,M149,S1_LOW_LEVEL_FLG_TR4,0,2024-04-27T16:45:13.450042,Alarm,1
51,D245,Cycle/S4/cycle/on/05,430,2024-04-27T16:45:13.527481,Cycle,1
57,M143,S4_LL_FLG_TR1,0,2024-04-27T16:45:13.567784,Alarm,1
52,D243,Cycle/S4/cycle/on/06,200,2024-04-27T16:45:13.644459,Cycle,1
58,M144,S4_LL_FLG_TR2,0,2024-04-27T16:45:13.684890,Alarm,1
53,D247,Cycle/S4/cycle/on/07,800,2024-04-27T16:45:13.763340,Cycle,1
59,M145,S4_LL_FLG_TR3,0,2024-04-27T16:45:13.804893,Alarm,1
54,D247,Cycle/S4/cycle/on/08,800,2024-04-27T16:45:13.876389,Cycle,1
60,M146,S4_LL_FLG_TR4,0,2024-04-27T16:45:13.912598,Alarm,1
